Year,Team,Games Won,GP,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OR,DR,REB,AST,STL,BLK,TO,PF,,,,,,
2011-2012,LA Clippers 2012,40,66,97.5,37,81.3,45.5,7.8,21.8,35.7,15.8,23.3,68,12.1,29.4,41.6,21,8.4,4.8,13.3,21.2,,,,,,
2011-2012,Los Angeles Lakers 2012,41,66,97.3,36.8,80.6,45.7,5.5,16.8,32.6,18.2,24.1,75.6,12.1,34.1,46.2,22.5,5.9,5.3,15.1,16.8,,,,,,
2011-2012,Portland Trail Blazers 2012,28,66,97.2,36.4,82.1,44.3,7.2,20.9,34.6,17.2,21.6,79.6,11.1,29.5,40.7,20.4,8,4.9,14.2,19,,,,,,
2011-2012,Atlanta Hawks 2012,40,66,96.6,36.8,81,45.4,7.5,20.2,37,15.5,21,74,9.9,31.3,41.2,22.4,8.1,4.6,14,17.8,,,,,,
2011-2012,Chicago Bulls 2012,50,66,96.3,37.4,82.8,45.2,6.3,16.9,37.5,15.2,21.1,72.2,13.9,32.8,46.7,23.1,6.9,5.9,14,17.3,,,,,,
2011-2012,Dallas Mavericks 2012,36,66,95.8,36.3,82,44.3,7.5,22.2,33.9,15.6,20.2,77.1,10.1,32.7,42.8,20.9,8.6,5.1,14,18.6,,,,,,
2011-2012,Memphis Grizzlies 2012,41,66,95,36.7,82.2,44.7,4.2,12.9,32.6,17.3,22.8,75.9,12.6,29.5,42,19.5,9.6,5.2,14.5,19.9,,,,,,
2011-2012,Orlando Magic 2012,37,66,94.2,34.5,78.2,44.1,10.2,27,37.5,15.1,22.8,66,11.2,31.2,42.5,20,6.8,4.2,14.9,17.7,,,,,,
2011-2012,Philadelphia 76ers 2012,35,66,93.6,37.4,83.6,44.8,5.3,14.6,36.2,13.5,18.2,74.2,10.7,32.5,43.2,22,8,5.2,11.2,17.5,,,,,,
2011-2012,Washington Wizards 2012,20,66,93.6,36.6,83,44.1,5.2,16.3,32,15.3,21,72.7,11.7,29.9,41.7,19.1,8,6.3,15.3,21.3,,,,,,
2011-2012,New Jersey Nets 2012,22,66,93.1,34.3,80.6,42.5,7.7,22.4,34.2,16.9,21.7,77.7,11.9,28.5,40.3,19.9,7.5,3.9,15.1,19.2,,,,,,
2011-2012,Cleveland Cavaliers 2012,21,66,93,34.3,81.2,42.2,6.7,19.3,34.6,17.8,24.9,71.6,12.7,29.5,42.3,19.8,7.1,4,15.4,20,,,,,,
2011-2012,Boston Celtics 2012,39,66,91.8,35.5,77.1,46,5.5,15,36.7,15.4,19.8,77.8,7.7,31.1,38.8,23.6,7.5,5.5,14.8,19.9,,,,,,
2011-2012,Detroit Pistons 2012,25,66,90.9,34.7,79.3,43.8,4.8,13.9,34.6,16.6,22.1,75.2,11.7,28.5,40.3,18.7,7,4.2,15.7,19.6,,,,,,
